2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:58:06 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:58:06 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=1872592 bytes}
2018-08-20 13:58:10 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=aTest, result=4.677 seconds}
2018-08-20 13:58:11 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=aTest, result=865568 bytes}
2018-08-20 13:58:11 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=0.047 seconds}
2018-08-20 13:58:11 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:58:11 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:58:11 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:20 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=4.562 seconds}
2018-08-20 14:07:20 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=1806720 bytes}
2018-08-20 14:07:25 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.135 seconds}
2018-08-20 14:07:25 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:07:30 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.187 seconds}
2018-08-20 14:07:30 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:07:35 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.234 seconds}
2018-08-20 14:07:35 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:07:35 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:35 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:41 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.156 seconds}
2018-08-20 14:07:41 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:07:41 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:41 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:46 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.182 seconds}
2018-08-20 14:07:46 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:07:46 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:46 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1368880 bytes}
2018-08-20 14:07:46 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.015 seconds}
2018-08-20 14:07:46 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:51 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=5.109 seconds}
2018-08-20 14:07:51 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=5.217 seconds}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=-21535704 bytes}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.016 seconds}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=1051696 bytes}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.016 seconds}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:56 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:57 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:57 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=865568 bytes}
2018-08-20 14:07:57 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.015 seconds}
2018-08-20 14:07:57 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=1292352 bytes}
2018-08-20 14:07:57 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:07:57 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:10:54 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.047 seconds}
2018-08-20 14:10:54 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1815128 bytes}
2018-08-20 14:10:54 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:10:54 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:10:54 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:10:54 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:10:59 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=4.437 seconds}
2018-08-20 14:10:59 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=865568 bytes}
2018-08-20 14:11:04 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.179 seconds}
2018-08-20 14:11:04 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:11:09 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.292 seconds}
2018-08-20 14:11:09 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:11:09 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.015 seconds}
2018-08-20 14:11:09 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:11:09 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:11:09 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1303328 bytes}
2018-08-20 14:11:09 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:11:09 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:11:10 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:11:10 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:11:15 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=5.255 seconds}
2018-08-20 14:11:15 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=1303328 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=5.234 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=-21595400 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.016 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=1051696 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=865568 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=1284904 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.016 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=865568 bytes}
2018-08-20 14:11:20 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:11:20 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=865568 bytes}
2018-08-20 14:14:17 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.047 seconds}
2018-08-20 14:14:17 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1823264 bytes}
